Pernyataan,Kalimat
Mengingat,Mengutip 
Mengingat,Menyebutkan
Mengingat,Menjelaskan
Mengingat,Menggambar 
Mengingat,Membilang 
Mengingat,Mengidentifikasi 
Mengingat,Mendaftar 
Mengingat,Menunjukkan 
Mengingat,Memberi label 
Mengingat,Memberi indeks 
Mengingat,Memasangkan 
Mengingat,Menamai 
Mengingat,Manandai 
Mengingat,Membaca 
Mengingat,Menyadari 
Mengingat,Menghafal 
Mengingat,Meniru 
Mengingat,Mencatat 
Mengingat,Mengulang 
Mengingat,Mereproduksi 
Mengingat,Meninjau 
Mengingat,Memilih 
Mengingat,Menyatakan 
Mengingat,Mempelajari 
Mengingat,Mentabulasi 
Mengingat,Memberi kode 
Mengingat,Menelusuri 
Mengingat,Menulis 
Memahami,Memperkirakan
Memahami,Menjelaskan
Memahami,Mengkategorikan
Memahami,Mencirikan
Memahami,Merinci
Memahami,Mengasosiasikan
Memahami,Membandingkan
Memahami,Menghitung
Memahami,Mengkontraskan
Memahami,Mengubah
Memahami,Mempertahankan
Memahami,Menguraikan
Memahami,Menjalin
Memahami,Membedakan
Memahami,Mendiskusikan
Memahami,Menggali
Memahami,Mencontohkan
Memahami,Menerangkan
Memahami,Mengemukakan
Memahami,Mempolakan
Memahami,Memperluas
Memahami,Menyimpulkan
Memahami,Meramalkan
Memahami,Merangkum
Memahami,Menjabarkan
Menerapkan,Menugaskan
Menerapkan,Mengurutkan
Menerapkan,Menentukan
Menerapkan,Menerapkan
Menerapkan,Menyesuaikan
Menerapkan,Mengkalkulasi
Menerapkan,Memodifikasi
Menerapkan,Mengklasifikasi
Menerapkan,Menghitung
Menerapkan,Membangun
Menerapkan,Mengurutkan
Menerapkan,Membiasakan
Menerapkan,Mencegah
Menerapkan,Menggambarkan
Menerapkan,Menggunakan
Menerapkan,Menilai
Menerapkan,Melatih
Menerapkan,Menggali
Menerapkan,Mengemukakan
Menerapkan,Mengadaptasi
Menerapkan,Menyelidiki
Menerapkan,Mengoperasikan
Menerapkan,Mempersoalkan
Menerapkan,Mengkonsepkan
Menerapkan,Melaksanakan
Menerapkan,Meramalkan
Menerapkan,Memproduksi
Menerapkan,Memproses
Menerapkan,Mengaitkan
Menerapkan,Menyusun
Menerapkan,Mensimulasikan
Menerapkan,Memecahkan
Menerapkan,Melakukan
Menerapkan,Mentabulasi
