Id,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,Pernyataan
1,0.391,0,0.318,0.359,0.359,0,0,0,0,0,0,0,0,0,0,menerapkan
2,0.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,menerapkan
3,-0.023,-0.019,-0.018,-0.021,-0.021,-0.028,-0.036,-0.025,-0.018,-0.023,-0.018,-0.025,-0.017,-0.018,-0.025,menerapkan
4,0.573,0.491,0.466,0,0,0,0,0,0,0,0,0,0,0,0,menerapkan
5,0,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,menerapkan
6,0,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,menerapkan
7,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0,menerapkan
8,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0,menerapkan
9,0,0,0,0.659,0,0,0,0,0,0,0,0,0,0,0,menerapkan
10,edit,0,0,0,0.659,0,0,0,0,0,0,0,0,0,0,0,menerapkan
11,0,0,0,0,0.659,0,0,0,0,0,0,0,0,0,0,menerapkan
12,0,0,0,0,0.706,0,0,0,0,0,0,0.441,0,0,0,menerapkan
13,0,0,0,0,0,0.706,0,0,0,0,0,0,0.441,0,0,memahami
14,0,0,0,0,0,0.706,0,0,0,0,0,0,0.441,0,0,memahami
15,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0,memahami
16,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0,memahami
17,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0,memahami
18,0,0,0,0,0,0,0,0.623,0,0,0,0,0,0,0,mengingat
19,0,0,0,0,0,0,0,0.780,0,0,0,0,0,0,0,mengingat
20,0,0,0,0,0,0,0,0,0.583,0,0,0,0,0,0,mengingat
21,0,0,0,0,0,0,0,0,0.318,0.391,0.318,0,0,0,0.318,mengingat
22,0,0,0,0,0,0,0,0,0.583,0,0,0,0,0,0,mengingat
23,0,0,0,0,0,0,0,0,0,0.573,0.466,0,0,0,0,mengingat
24,0,0,0,0,0,0,0,0,0,0.718,0,0,0,0,0,mengingat
25,0,0,0,0,0,0,0,0,0,0,0.583,0,0,0,0,memahami
26,0,0,0,0,0,0,0,0,0,0,0.583,0,0,0,0,memahami
27,0,0,0,0,0,0,0,0,0,0,0.623,0,0,0.623,0,menerapkan
28,0,0,0,0,0,0,0,0,0,0,0.780,0,0,0.623,0,menerapkan
29,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0,0,memahami
30,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0,0,memahami
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0,menerapkan
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0,menerapkan
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780,menerapkan
