Id,Text,Pernyataan
1,kutip sebut jelas gambar bilang identifikasi daftar tunjuk beri label beri indeks pasang nama manandai baca sadar hafal tiru catat ulang reproduksi tinjau pilih satak ajar tabulasi beri kode telusur tulis,mengingat       
2,kira jelas kategori cir merinci asosiasi banding hitung kontras ubah tah urai jalin bedak diskus gali contoh terang muka pola luas simpul ramal rangkum menjabarkan,memahami
3,tugas urut tentu terap menyesuaikan kalkulasi modifikasi klasifikasi hitung bangun urut biasa cegah gambar guna nilai latih gali muka adaptasi selidik operasi soal konsep laksana ramal produksi proses kait susun simulasi pecah laku tabulasi,menerapkan
4,siswa produksi konten tarik,menerapkan
5,siswa ilustrasi objek tarik,menerapkan
6,siswa analisis konten tarik audience,menerapkan
7,siswa edit konten caraosel,menerapkan
8,siswa susun konten struktur,menerapkan
9,siswa materi ajar,memahami
10,siswa modifikasi karya siswa warna,memahami
11,siswa identifikasi market,mengingat
12,siswa identifikasi teknik dasar fotografi,mengingat
13,siswa pilih angel fotografi,mengingat
