Id,Kata,C1,C2,C3,Pernyataan
1,ajar,0.169,0,0,mengingat
2,baca,0.169,0,0,mengingat
3,beri,0.507,0,0,mengingat
4,bilang,0.169,0,0,mengingat
5,catat,0.169,0,0,mengingat
6,daftar,0.169,0,0,mengingat
7,gambar,0,0,0,mengingat
8,hafal,0.169,0,0,mengingat
9,identifikasi,0.169,0,0,mengingat
10,indeks,0.169,0,0,mengingat
11,jelas,0,0,0,mengingat
12,kode,0.169,0,0,mengingat
13,label,0.169,0,0,mengingat
14,menandai,0.169,0,0,mengingat
15,nama,0.169,0,0,mengingat
16,pasang,0.169,0,0,mengingat
17,pilih,0.169,0,0,mengingat
18,reproduksi,0.169,0,0,mengingat
19,sadar,0.169,0,0,mengingat
20,satak,0.169,0,0,mengingat
21,sebut,0.169,0,0,mengingat
22,tabulasi,0.169,0,0,mengingat
23,telusur,0.169,0,0,mengingat
24,tinjau,0.169,0,0,mengingat
25,tiru,0.169,0,0,mengingat
26,tulis,0.169,0,0,mengingat
27,tunjuk,0.169,0,0,mengingat
28,ulang,0.169,0,0,mengingat
29,kutip,0.169,0,0,mengingat
30,asosiasi,0,0.223,0,memahami
31,banding,0,0.223,0,memahami
32,bedak,0,0.223,0,memahami
33,cir,0,0.223,0,memahami
34,contoh,0,0.223,0,memahami
35,diskus,0,0.223,0,memahami
36,gali,0,0,0,memahami
37,hitung,0,0,0,memahami
38,jalin,0,0.223,0,memahami
39,kategori,0,0.223,0,memahami
40,kontras,0,0.223,0,memahami
41,luas,0,0.223,0,memahami
42,menjabarkan,0,0.223,0,memahami
43,merinci,0,0.223,0,memahami
44,muka,0,0,0,memahami
45,pola,0,0.223,0,memahami
46,ramai,0,0,0,memahami
47,rangkum,0,0.223,0,memahami
48,simpul,0,0.223,0,memahami
49,tah,0,0.223,0,memahami
50,terang,0,0.223,0,memahami
51,ubah,0,0.223,0,memahami
52,urai,0,0.223,0,memahami
53,kira,0,0.223,0,memahami
54,adaptasi,0,0,0.179,menerapkan
55,bangun,0,0,0.179,menerapkan
56,biasa,0,0,0.179,menerapkan
57,cegah,0,0,0.179,menerapkan
58,guna,0,0,0.179,menerapkan
59,kait,0,0,0.179,menerapkan
60,kalkulasi,0,0,0.179,menerapkan
61,klasifikasi,0,0,0.179,menerapkan
62,konsep,0,0,0.179,menerapkan
63,laksanai,0,0,0.179,menerapkan
64,laku,0,0,0.179,menerapkan
65,latih,0,0,0.179,menerapkan
66,menyesuaikan,0,0,0.179,menerapkan
67,modifikasi,0,0,0.179,menerapkan
68,nilai,0,0,0.179,menerapkan
69,operasi,0,0,0.179,menerapkan
70,pecah,0,0,0.179,menerapkan
71,produksi,0,0,0.179,menerapkan
72,proses,0,0,0.179,menerapkan
73,selidik,0,0,0.179,menerapkan
74,simulasi,0,0,0.179,menerapkan
75,soal,0,0,0.179,menerapkan
76,susun,0,0,0.179,menerapkan
77,tabulasi,0,0,0.179,menerapkan
78,tentu,0,0,0.179,menerapkan
79,terap,0,0,0.179,menerapkan
80,urut,0,0,0.359,menerapkan
81,tugas,0,0,0.179,menerapkan
